Period Start,Period end,Time open,Time close,Price open,Price close,Price low,Price high,Volume traded,Trades count
2019-08-07T00:00:00.0000000Z,2019-08-07T01:00:00.0000000Z,2019-08-07T00:00:09.7740000Z,2019-08-07T00:50:58.5860000Z,225.84,225.21,224.18,226.3,1623.33781752,138
2019-08-07T01:00:00.0000000Z,2019-08-07T02:00:00.0000000Z,2019-08-07T01:01:36.3820000Z,2019-08-07T01:56:48.4200000Z,225.27,225.69,225.26,226.51,1142.3501287,81
2019-08-07T02:00:00.0000000Z,2019-08-07T03:00:00.0000000Z,2019-08-07T02:01:39.1180000Z,2019-08-07T02:52:40.3420000Z,225.95,226.72,225.9,227.28,470.74368307,55
2019-08-07T03:00:00.0000000Z,2019-08-07T04:00:00.0000000Z,2019-08-07T03:02:42.3500000Z,2019-08-07T03:59:53.6090000Z,226.61,226.29,225.54,227.08,1141.95585937,121
2019-08-07T04:00:00.0000000Z,2019-08-07T05:00:00.0000000Z,2019-08-07T04:00:37.6250000Z,2019-08-07T04:57:42.5740000Z,226.31,227.46,225.99,227.96,944.24108332,135
2019-08-07T05:00:00.0000000Z,2019-08-07T06:00:00.0000000Z,2019-08-07T05:00:22.0130000Z,2019-08-07T05:59:47.5500000Z,227.35,226.71,226.31,227.81,481.58232647,183
2019-08-07T06:00:00.0000000Z,2019-08-07T07:00:00.0000000Z,2019-08-07T06:00:28.7110000Z,2019-08-07T06:53:18.8590000Z,226.38,226.43,225.88,226.88,192.30905462,99
2019-08-07T07:00:00.0000000Z,2019-08-07T08:00:00.0000000Z,2019-08-07T07:00:37.7920000Z,2019-08-07T07:59:56.7990000Z,226.25,224.77,224.66,226.33,953.03594411,133
2019-08-07T08:00:00.0000000Z,2019-08-07T09:00:00.0000000Z,2019-08-07T08:00:34.5270000Z,2019-08-07T08:57:30.2220000Z,224.46,225.26,223.46,225.7,1249.20453379,187
2019-08-07T09:00:00.0000000Z,2019-08-07T10:00:00.0000000Z,2019-08-07T09:00:46.5190000Z,2019-08-07T09:58:35.6580000Z,225.03,226.05,224.47,226.88,959.65624309,185
2019-08-07T10:00:00.0000000Z,2019-08-07T11:00:00.0000000Z,2019-08-07T10:00:08.8650000Z,2019-08-07T10:58:25.4780000Z,226.13,226.24,226.13,227.19,870.6885183,131
2019-08-07T11:00:00.0000000Z,2019-08-07T12:00:00.0000000Z,2019-08-07T11:01:11.4370000Z,2019-08-07T11:59:40.5690000Z,225.98,227.87,225.15,228.05,1317.56671652,148
2019-08-07T12:00:00.0000000Z,2019-08-07T13:00:00.0000000Z,2019-08-07T12:00:05.6960000Z,2019-08-07T12:59:59.2540000Z,227.99,228.3,227.34,228.68,1215.49000749,142
2019-08-07T13:00:00.0000000Z,2019-08-07T14:00:00.0000000Z,2019-08-07T13:00:15.8550000Z,2019-08-07T13:58:25.8470000Z,228.3,229.41,228.3,231.17,3155.01819173,394
2019-08-07T14:00:00.0000000Z,2019-08-07T15:00:00.0000000Z,2019-08-07T14:00:36.3050000Z,2019-08-07T14:57:41.8000000Z,229.41,228.98,227.64,230.47,2075.38943036,236
2019-08-07T15:00:00.0000000Z,2019-08-07T16:00:00.0000000Z,2019-08-07T15:00:32.2970000Z,2019-08-07T15:59:20.3380000Z,228.98,224.1,222.25,229.14,5419.01578966,613
2019-08-07T16:00:00.0000000Z,2019-08-07T17:00:00.0000000Z,2019-08-07T16:00:04.1160000Z,2019-08-07T16:59:39.1930000Z,224.17,223.11,220.24,224.56,3613.101149,464
2019-08-07T17:00:00.0000000Z,2019-08-07T18:00:00.0000000Z,2019-08-07T17:01:05.2250000Z,2019-08-07T17:59:45.7980000Z,223.14,224.59,222.55,224.59,892.12443576,119
2019-08-07T18:00:00.0000000Z,2019-08-07T19:00:00.0000000Z,2019-08-07T18:03:02.5510000Z,2019-08-07T18:59:48.6510000Z,224.47,223.55,223.28,224.79,1129.05192757,121
2019-08-07T19:00:00.0000000Z,2019-08-07T20:00:00.0000000Z,2019-08-07T19:00:59.0720000Z,2019-08-07T19:59:26.2450000Z,223.55,223.83,222.78,224.3,1123.91138012,158
2019-08-07T20:00:00.0000000Z,2019-08-07T21:00:00.0000000Z,2019-08-07T20:00:13.3080000Z,2019-08-07T20:59:19.5710000Z,223.77,224.2,221.42,225.15,4673.97213645,411
2019-08-07T21:00:00.0000000Z,2019-08-07T22:00:00.0000000Z,2019-08-07T21:00:02.9890000Z,2019-08-07T21:58:47.9540000Z,223.88,224.89,223.21,227.75,1257.65004628,144
2019-08-07T22:00:00.0000000Z,2019-08-07T23:00:00.0000000Z,2019-08-07T22:01:03.0680000Z,2019-08-07T22:57:28.6470000Z,224.49,226.11,224.49,226.42,2209.93168703,284
2019-08-07T23:00:00.0000000Z,2019-08-08T00:00:00.0000000Z,2019-08-07T23:00:31.2340000Z,2019-08-07T23:59:12.2960000Z,225.91,226.0,224.59,227.03,870.18008255,150
2019-08-08T00:00:00.0000000Z,2019-08-08T01:00:00.0000000Z,2019-08-08T00:00:18.9880000Z,2019-08-08T00:58:58.4050000Z,226.17,225.55,224.58,226.45,983.70279173,123
