Period Start,Period end,Time open,Time close,Price open,Price close,Price low,Price high,Volume traded,Trades count
2019-08-07T00:00:00.0000000Z,2019-08-07T01:00:00.0000000Z,2019-08-07T00:19:19.3820000Z,2019-08-07T00:59:49.3860000Z,92.89,92.52,92.16,92.89,257.79939065,28
2019-08-07T01:00:00.0000000Z,2019-08-07T02:00:00.0000000Z,2019-08-07T01:04:27.3620000Z,2019-08-07T01:48:58.8800000Z,92.52,92.71,92.33,93.08,412.67700463,29
2019-08-07T02:00:00.0000000Z,2019-08-07T03:00:00.0000000Z,2019-08-07T02:01:35.5130000Z,2019-08-07T02:55:15.8010000Z,92.79,92.88,92.79,93.18,204.95409111,16
2019-08-07T03:00:00.0000000Z,2019-08-07T04:00:00.0000000Z,2019-08-07T03:07:07.3170000Z,2019-08-07T03:58:22.4320000Z,92.92,93.3,92.66,93.3,301.59492773,18
2019-08-07T04:00:00.0000000Z,2019-08-07T05:00:00.0000000Z,2019-08-07T04:00:00.3810000Z,2019-08-07T04:58:08.7740000Z,93.18,93.36,92.91,93.84,438.70044522,37
2019-08-07T05:00:00.0000000Z,2019-08-07T06:00:00.0000000Z,2019-08-07T05:00:29.2600000Z,2019-08-07T05:58:56.0850000Z,93.4,92.74,92.43,93.56,283.8468372,35
2019-08-07T06:00:00.0000000Z,2019-08-07T07:00:00.0000000Z,2019-08-07T06:03:41.3630000Z,2019-08-07T06:58:12.6440000Z,92.61,92.2,92.08,92.62,350.23912208,38
2019-08-07T07:00:00.0000000Z,2019-08-07T08:00:00.0000000Z,2019-08-07T07:05:48.2890000Z,2019-08-07T07:57:43.8150000Z,92.18,92.15,91.84,92.26,1926.05903559,75
2019-08-07T08:00:00.0000000Z,2019-08-07T09:00:00.0000000Z,2019-08-07T08:00:37.4030000Z,2019-08-07T08:59:39.4440000Z,91.78,92.14,91.39,92.54,1814.93832487,75
2019-08-07T09:00:00.0000000Z,2019-08-07T10:00:00.0000000Z,2019-08-07T09:00:46.0610000Z,2019-08-07T09:58:04.0410000Z,92.13,92.33,91.64,92.49,826.85018027,46
2019-08-07T10:00:00.0000000Z,2019-08-07T11:00:00.0000000Z,2019-08-07T10:00:19.3890000Z,2019-08-07T10:58:55.3910000Z,92.38,91.87,91.87,92.48,432.54958675,37
2019-08-07T11:00:00.0000000Z,2019-08-07T12:00:00.0000000Z,2019-08-07T11:01:33.3370000Z,2019-08-07T11:58:47.9460000Z,92.06,92.5,91.5,92.91,392.31015124,48
2019-08-07T12:00:00.0000000Z,2019-08-07T13:00:00.0000000Z,2019-08-07T12:05:36.0730000Z,2019-08-07T12:57:56.7970000Z,92.86,93.2,92.42,93.2,296.59610095,38
2019-08-07T13:00:00.0000000Z,2019-08-07T14:00:00.0000000Z,2019-08-07T13:00:59.6180000Z,2019-08-07T13:57:38.7130000Z,93.18,93.3,92.96,94.4,4572.83497168,116
2019-08-07T14:00:00.0000000Z,2019-08-07T15:00:00.0000000Z,2019-08-07T14:01:55.8450000Z,2019-08-07T14:58:15.5770000Z,93.34,93.25,92.92,93.65,1151.56788818,72
2019-08-07T15:00:00.0000000Z,2019-08-07T16:00:00.0000000Z,2019-08-07T15:00:37.0530000Z,2019-08-07T15:59:50.0550000Z,93.25,91.09,90.38,93.33,9679.58901985,481
2019-08-07T16:00:00.0000000Z,2019-08-07T17:00:00.0000000Z,2019-08-07T16:01:41.1330000Z,2019-08-07T16:59:39.5890000Z,91.12,89.01,87.25,91.19,12124.32324694,538
2019-08-07T17:00:00.0000000Z,2019-08-07T18:00:00.0000000Z,2019-08-07T17:00:28.9670000Z,2019-08-07T17:57:29.0220000Z,88.9,90.36,88.41,90.59,3648.77677599,172
2019-08-07T18:00:00.0000000Z,2019-08-07T19:00:00.0000000Z,2019-08-07T18:00:59.5950000Z,2019-08-07T18:55:39.7010000Z,90.3,89.97,89.64,90.32,767.74670264,76
2019-08-07T19:00:00.0000000Z,2019-08-07T20:00:00.0000000Z,2019-08-07T19:01:26.9470000Z,2019-08-07T19:59:49.5080000Z,90.13,89.47,88.93,90.13,904.39048789,78
2019-08-07T20:00:00.0000000Z,2019-08-07T21:00:00.0000000Z,2019-08-07T20:00:33.5020000Z,2019-08-07T20:58:13.4290000Z,89.68,89.72,88.62,90.18,4846.73199575,208
2019-08-07T21:00:00.0000000Z,2019-08-07T22:00:00.0000000Z,2019-08-07T21:00:03.3930000Z,2019-08-07T21:58:31.8900000Z,89.42,91.06,89.35,92.0,2033.48654951,109
2019-08-07T22:00:00.0000000Z,2019-08-07T23:00:00.0000000Z,2019-08-07T22:02:07.6860000Z,2019-08-07T22:59:02.4870000Z,91.11,91.56,90.97,91.56,423.39665467,33
2019-08-07T23:00:00.0000000Z,2019-08-08T00:00:00.0000000Z,2019-08-07T23:00:46.1140000Z,2019-08-07T23:59:48.2580000Z,91.65,90.6,90.16,91.86,2328.06754594,108
2019-08-08T00:00:00.0000000Z,2019-08-08T01:00:00.0000000Z,2019-08-08T00:00:24.0920000Z,2019-08-08T00:59:48.9040000Z,90.75,90.63,90.0,90.78,852.22587732,34
2019-08-08T01:00:00.0000000Z,2019-08-08T02:00:00.0000000Z,2019-08-08T01:01:28.6240000Z,2019-08-08T01:44:52.6410000Z,90.32,90.17,89.86,90.52,626.01024028,28
2019-08-08T02:00:00.0000000Z,2019-08-08T03:00:00.0000000Z,2019-08-08T02:05:20.0160000Z,2019-08-08T02:46:33.9660000Z,90.06,90.89,90.01,92.8,3277.72632529,149
