Period Start,Period end,Time open,Time close,Price open,Price close,Price low,Price high,Volume traded,Trades count
2019-08-07T00:00:00.0000000Z,2019-08-07T01:00:00.0000000Z,2019-08-07T00:00:02.8410000Z,2019-08-07T00:59:41.4830000Z,11471.58,11461.08,11388.01,11503.24,328.94940718,648
2019-08-07T01:00:00.0000000Z,2019-08-07T02:00:00.0000000Z,2019-08-07T01:00:03.9130000Z,2019-08-07T01:59:45.3960000Z,11468.92,11524.06,11438.52,11618.7,1487.87038926,1246
2019-08-07T02:00:00.0000000Z,2019-08-07T03:00:00.0000000Z,2019-08-07T02:00:08.8500000Z,2019-08-07T02:59:47.9590000Z,11524.97,11616.21,11524.74,11666.0,277.13415376,588
2019-08-07T03:00:00.0000000Z,2019-08-07T04:00:00.0000000Z,2019-08-07T03:00:08.8960000Z,2019-08-07T03:59:50.0470000Z,11628.93,11627.54,11550.0,11645.98,166.01086078,527
2019-08-07T04:00:00.0000000Z,2019-08-07T05:00:00.0000000Z,2019-08-07T04:00:01.5750000Z,2019-08-07T04:59:51.9050000Z,11625.16,11676.53,11588.59,11698.24,327.37053136,716
2019-08-07T05:00:00.0000000Z,2019-08-07T06:00:00.0000000Z,2019-08-07T05:00:01.5430000Z,2019-08-07T05:59:54.7760000Z,11673.83,11601.68,11562.56,11706.06,110.01584422,531
2019-08-07T06:00:00.0000000Z,2019-08-07T07:00:00.0000000Z,2019-08-07T06:00:14.4460000Z,2019-08-07T06:59:55.0890000Z,11589.41,11612.0,11558.06,11662.18,216.52178528,646
2019-08-07T07:00:00.0000000Z,2019-08-07T08:00:00.0000000Z,2019-08-07T07:00:14.6240000Z,2019-08-07T07:59:54.3980000Z,11615.58,11517.2,11503.0,11627.3,372.23377934,700
2019-08-07T08:00:00.0000000Z,2019-08-07T09:00:00.0000000Z,2019-08-07T08:00:00.4570000Z,2019-08-07T08:59:57.5780000Z,11517.2,11547.42,11445.94,11581.8,334.73475008,804
2019-08-07T09:00:00.0000000Z,2019-08-07T10:00:00.0000000Z,2019-08-07T09:00:02.9950000Z,2019-08-07T09:59:51.5670000Z,11553.6,11602.15,11499.01,11633.81,224.06758389,680
